"id","movie_id","genre_id"
"1","1","3"
"2","1","4"
"3","1","5"
"4","2","2"
"5","2","4"
"6","2","9"
"7","3","5"
"8","3","14"
"9","4","5"
"10","4","8"
"11","5","5"
"12","6","1"
"13","6","6"
"14","6","16"
"15","7","5"
"16","7","14"
"17","8","2"
"18","8","4"
"19","9","1"
"20","10","1"
"21","10","2"
"22","10","16"
"23","11","5"
"24","11","8"
"25","11","14"
"26","12","5"
"27","12","11"
"28","13","3"
"29","13","4"
"30","14","8"
"31","15","1"
"32","15","2"
"33","15","14"
"34","16","8"
"35","16","16"
"36","17","8"
"37","17","14"
"38","18","16"
"39","19","5"
"40","20","1"
"41","21","1"
"42","21","5"
"43","21","8"
"44","22","6"
"45","22","8"
"46","22","16"
"47","23","16"
"48","24","8"
"49","24","15"
"50","25","8"
"51","25","14"
"52","26","8"
"53","27","8"
"54","28","14"
"55","29","2"
"56","29","15"
"57","30","8"
"58","31","8"
"59","32","8"
"60","32","15"
"61","33","2"
"62","33","14"
"63","34","4"
"64","34","5"
"65","34","8"
"66","35","8"
"67","35","14"
"68","36","8"
"69","37","7"
"70","38","5"
"71","39","5"
"72","39","14"
"73","40","8"
"74","41","8"
"75","41","17"
"76","42","1"
"77","42","6"
"78","42","8"
"79","43","8"
"80","44","1"
"81","44","2"
"82","45","5"
"83","45","8"
"84","46","8"
"85","46","14"
"86","47","6"
"87","47","16"
"88","48","3"
"89","48","4"
"90","48","12"
"91","48","14"
"92","49","8"
"93","49","14"
"94","50","6"
"95","50","16"
"96","51","1"
"97","51","8"
"98","51","16"
"99","52","5"
"100","53","8"
"101","54","4"
"102","54","5"
"103","55","8"
"104","56","2"
"105","56","4"
"106","56","9"
"107","57","8"
"108","58","8"
"109","58","14"
"110","59","8"
"111","59","13"
"112","60","2"
"113","60","4"
"114","60","9"
"115","61","8"
"116","61","16"
"117","62","8"
"118","63","5"
"119","64","5"
"120","64","14"
"121","65","5"
"122","66","15"
"123","66","16"
"124","67","8"
"125","68","5"
"126","68","14"
"127","69","5"
"128","70","1"
"129","70","5"
"130","70","6"
"131","70","11"
"132","70","16"
"133","71","1"
"134","72","5"
"135","72","8"
"136","73","8"
"137","73","12"
"138","74","8"
"139","74","14"
"140","75","5"
"141","75","8"
"142","76","15"
"143","76","16"
"144","77","7"
"145","78","8"
"146","79","8"
"147","79","16"
"148","80","8"
"149","81","6"
"150","81","8"
"151","81","14"
"152","82","8"
"153","83","8"
"154","84","5"
"155","84","8"
"156","85","8"
"157","85","14"
"158","86","2"
"159","86","8"
"160","87","4"
"161","87","5"
"162","88","5"
"163","89","1"
"164","89","16"
"165","90","8"
"166","92","8"
"167","92","16"
"168","93","5"
"169","93","14"
"170","94","8"
"171","95","1"
"172","95","16"
"173","96","5"
"174","97","8"
"175","98","1"
"176","98","16"
"177","99","7"
"178","100","8"
"179","100","16"
"180","101","5"
"181","102","5"
"182","103","16"
"183","104","5"
"184","105","8"
"185","105","14"
"186","106","5"
"187","106","8"
"188","107","2"
"189","107","4"
"190","107","5"
"191","107","12"
"192","108","7"
"193","109","5"
"194","110","1"
"195","110","8"
"196","110","17"
"197","111","8"
"198","111","16"
"199","112","1"
"200","112","2"
"201","112","6"
"202","113","8"
"203","113","13"
"204","114","8"
"205","115","5"
"206","116","7"
"207","117","6"
"208","118","5"
"209","118","14"
"210","119","5"
"211","120","8"
"212","121","8"
"213","122","5"
"214","122","14"
"215","123","8"
"216","123","13"
"217","123","14"
"218","124","8"
"219","125","5"
"220","126","2"
"221","126","4"
"222","126","9"
"223","127","8"
"224","128","7"
"225","129","5"
"226","129","14"
"227","130","8"
"228","131","8"
"229","131","14"
"230","132","16"
"231","133","5"
"232","133","8"
"233","134","7"
"234","135","5"
"235","136","7"
"236","137","7"
"237","138","8"
"238","139","1"
"239","139","8"
"240","140","8"
"241","140","14"
"242","141","5"
"243","142","8"
"244","143","8"
"245","144","5"
"246","145","1"
"247","146","2"
"248","146","4"
"249","147","8"
"250","148","8"
"251","149","6"
"252","149","8"
"253","149","16"
"254","150","8"
"255","151","8"
"256","151","14"
"257","151","17"
"258","152","11"
"259","153","1"
"260","153","2"
"261","153","5"
"262","153","6"
"263","154","8"
"264","155","8"
"265","155","17"
"266","156","5"
"267","157","5"
"268","157","17"
"269","158","2"
"270","158","4"
"271","159","8"
"272","160","1"
"273","160","2"
"274","160","13"
"275","160","15"
"276","161","8"
"277","161","16"
"278","161","17"
"279","162","7"
"280","163","1"
"281","163","14"
"282","163","16"
"283","164","6"
"284","164","10"
"285","164","13"
"286","164","16"
"287","165","1"
"288","165","16"
"289","166","5"
"290","166","8"
"291","167","8"
"292","168","1"
"293","168","2"
"294","168","8"
"295","168","14"
"296","169","2"
"297","169","4"
"298","169","8"
"299","170","1"
"300","170","6"
"301","170","16"
"302","171","5"
"303","172","1"
"304","172","15"
"305","172","16"
"306","173","1"
"307","173","2"
"308","173","15"
"309","174","5"
"310","175","8"
"311","176","5"
"312","177","11"
"313","178","5"
